"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C2,C4,C3,C1";"C_0402_1005Metric";4;"100 nF";;;
2;"R4";"R_0603_1608Metric";1;"2.7k";;;
3;"C6,C7";"C_0805_2012Metric";2;"4.7uF";;;
4;"U4";"TSOT-23-5";1;"LTC4054ES5-4.2";;;
5;"SW4,SW3,SW6,SW5,SW2";"EVQP2P02M";5;"SW_Push";;;
6;"J9,J1";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04";;;
7;"Joystick1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
8;"H2,H4,H1,H3";"PinHeader_1x03_P2.00mm_Vertical";4;"A1369xUA-10";;;
9;"C8";"C_0603_1608Metric";1;"2.2 uF";;;
10;"U3";"SOT-23-5";1;"TPS7A03";;;
11;"R3";"R_0603_1608Metric";1;"1K";;;
12;"H8,H7";"MountingHole_2.2mm_M2";2;"MountingHole";;;
13;"SW1";"PinHeader_1x03_P2.54mm_Vertical";1;"SW_SPDT";;;
14;"J6";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x07_Pin";;;
15;"BattExtLTC4054";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"JST_02";;;
16;"D2";"LED_0805_2012Metric";1;"LED GREEN";;;
17;"R5";"R_0603_1608Metric";1;"150";;;
18;"U1";"ESP32-S3-Super Mini";1;"~";;;
19;"MAX1";"SOT-23-6";1;"~";;;
20;"BATT1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
